delivery_partner_id,partner_name,vehicle_type,city,joining_date,rating
D0440,Partner_440,Scooter,Mumbai,2023-11-21,3.4
D0441,Partner_441,Bike,Gurgaon,2024-12-26,3.9
D0442,Partner_442,Bike,Hyderabad,2023-11-08,2.6
D0443,Partner_443,Bicycle,Chennai,2022-07-03,3.8
D0444,Partner_444,Scooter,Gurgaon,2024-10-01,3.4
D0445,Partner_445,Scooter,Bangalore,2022-07-27,3.8
D0446,Partner_446,Bicycle,Gurgaon,2023-06-12,3.6
D0447,Partner_447,Bike,Delhi,2025-08-16,3.2
D0448,Partner_448,Bike,Delhi,2024-03-28,4.8
D0449,Partner_449,Bike,Gurgaon,2024-09-29,3.0
D0450,Partner_450,Bike,Ghaziabad,2025-06-18,4.2
D0451,Partner_451,Bicycle,Noida,2023-03-31,4.8
D0452,Partner_452,Scooter,Hyderabad,2024-06-20,3.8
D0453,Partner_453,Bike,Pune,2022-09-01,4.7
D0454,Partner_454,Scooter,Gurgaon,2024-02-10,2.8
D0455,Partner_455,Scooter,Mumbai,2022-08-26,3.7
D0456,Partner_456,Bike,Ghaziabad,2025-06-23,3.6
D0457,Partner_457,Bike,Meerut,2022-12-11,2.5
D0458,Partner_458,Bike,Ghaziabad,2022-11-06,3.6
D0459,Partner_459,Scooter,Hyderabad,2025-07-31,3.4
D0460,Partner_460,Bicycle,Mumbai,2022-02-07,4.2
D0461,Partner_461,Bike,Ghaziabad,2022-02-01,4.8
D0462,Partner_462,Scooter,Pune,2025-06-20,2.7
D0463,Partner_463,Scooter,Noida,2022-10-19,3.3
D0464,Partner_464,Bike,Mumbai,2022-10-19,3.6
D0465,Partner_465,Bicycle,Delhi,2024-01-28,3.6
D0466,Partner_466,Bike,Pune,2025-11-06,4.4
D0467,Partner_467,Bike,Bangalore,2023-08-01,3.6
D0468,Partner_468,Bicycle,Meerut,2025-03-07,2.6
D0469,Partner_469,Bike,Hyderabad,2025-05-08,4.3
D0470,Partner_470,Bike,Hyderabad,2025-09-20,4.7
D0471,Partner_471,Bicycle,Gurgaon,2023-08-28,3.8
D0472,Partner_472,Scooter,Hyderabad,2023-03-23,4.0
D0473,Partner_473,Scooter,Hyderabad,2025-10-03,2.9
D0474,Partner_474,Scooter,Noida,2022-10-05,3.1
D0475,Partner_475,Scooter,Meerut,2024-09-20,3.1
D0476,Partner_476,Scooter,Noida,2023-06-16,3.6
D0477,Partner_477,Bike,Delhi,2025-11-23,4.8
D0478,Partner_478,Bicycle,Mumbai,2025-11-15,3.8
D0479,Partner_479,Scooter,Ghaziabad,2024-09-10,3.0
D0480,Partner_480,Bicycle,Meerut,2023-08-25,3.2
D0481,Partner_481,Scooter,Ghaziabad,2023-07-16,3.5
D0482,Partner_482,Bike,Bangalore,2024-10-30,4.1
D0483,Partner_483,Scooter,Noida,2023-08-14,3.6
D0484,Partner_484,Scooter,Pune,2022-02-28,3.5
D0485,Partner_485,Bicycle,Ghaziabad,2025-01-16,3.9
D0486,Partner_486,Bicycle,Pune,2023-04-04,3.1
D0487,Partner_487,Bike,Gurgaon,2022-04-14,2.7
D0488,Partner_488,Bicycle,Meerut,2024-04-10,2.6
D0489,Partner_489,Bicycle,Gurgaon,2024-02-28,3.1
D0490,Partner_490,Bicycle,Mumbai,2022-04-14,2.7
D0491,Partner_491,Bike,Gurgaon,2025-07-01,3.3
D0492,Partner_492,Bike,Pune,2024-01-12,4.4
D0493,Partner_493,Bike,Hyderabad,2025-09-20,4.3
D0494,Partner_494,Bicycle,Noida,2022-10-28,4.0
D0495,Partner_495,Bicycle,Gurgaon,2023-10-16,4.6
D0496,Partner_496,Bike,Mumbai,2023-07-09,3.2
D0497,Partner_497,Bicycle,Meerut,2023-09-20,4.7
D0498,Partner_498,Bicycle,Chennai,2025-09-26,3.5
D0499,Partner_499,Scooter,Mumbai,2025-01-12,3.5
D0500,Partner_500,Bike,Noida,2024-07-17,3.5
